
[2014/06/01 12:57:53, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:57:53, <general-helpers.php>, (223)]==> NEW LOG ID
[2014/06/01 12:57:53, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:57:53, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:57:57, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:57:57, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:57:57, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:12, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:12, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:12, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:28, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:28, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:28, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:32, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:32, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:32, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:35, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:35, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:35, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:38, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:38, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:38, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:41, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:41, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:41, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:44, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:44, <general-helpers.php>, (223)]==> EMAILS LIST
[2014/06/01 12:58:44, <general-helpers.php>, (223)]==> Array
[2014/06/01 12:58:44, <general-helpers.php>, (223)]==> SENT TO ALL SUBSCRIBERS
